# File: AlexandriaLib/tables/HF-6-311G**.csv Date: 2017-10-08 14:52:19
#
# Quantum mechanic results for molecular dipole and Polarizability at 298.15K in the gas phase.
# Computed using HF/6-311G** method.
# References at the bottom of the file as comments.
#
# More information is on http://virtualchemistry.org
#
#|||||||||||dipole|||||Polarizability|||||
# Alexandria ID|Compound|Formula|Charge|Multiplicity|CAS no.|ChemSpider ID|PubChem ID|Rotatable Bonds|StdInChI|InChIkey||Exp.|Error|Ref.|HF/6-311G**||Exp.|Error|Ref.|HF/6-311G**||Filename|
371|calcium dibromide|Br2Ca|0|1|7789-41-5|23010||0|InChI=1S/2BrH.Ca/h2*1H;/q;;+2/p-2||||||0.00|||||7.15||calcium-bromide
372|calcium chloride fluoride|CaClF|0|1||||0|InChI=1S/Ca.ClH.FH/h;2*1H/q+2;;/p-2||||||2.18|||||3.35||calcium-chloride-fluoride
374|calcium dichloride|CaCl2|0|1|10043-52-4|23237||0|InChI=1S/Ca.2ClH/h;2*1H/q+2;;/p-2||||||0.00|||||5.15||calcium-chloride
378|calcium iodide bromide|CaIBr|0|1||||0|InChI=1S/BrH.Ca.HI/h1H;;1H/q;+2;/p-2||||||0.33|||||9.11||calcium-iodide-bromide
379|calcium iodide chloride|CaICl|0|1||||0|InChI=1S/Ca.ClH.HI/h;2*1H/q+2;;/p-2||||||0.34|||||8.12||calcium-iodide-chloride
380|calcium iodide fluoride|CaIF|0|1||||0|InChI=1S/Ca.FH.HI/h;2*1H/q+2;;/p-2||||||2.57|||||6.27||calcium-iodide-fluoride
382|calcium diiodide|CaI2|0|1|10102-68-8|59629||0|InChI=1S/Ca.2HI/h;2*1H/q+2;;/p-2||||||0.00|||||11.11||calcium-iodide
384|calcium selenide|CaSe|0|1|1305-84-6|8305457||0|InChI=1S/Ca.Se||||||13.09|||||13.67||calcium-selenide
385|calcium sulfide|CaS|0|1|1345-11-5|8373113||0|InChI=1S/Ca.S||||||13.70|||||11.11||calcium-sulfide
395|chlorine fluoride|ClF|0|1|7790-89-8|109879||0|InChI=1S/ClF/c1-2|||0.89|0.00|38|1.41|||||1.40||chlorine-fluoride
396|chlorine oxide|ClO|0|2|14989-30-1|145843||0|InChI=1S/ClO/c1-2|||1.30|0.00|38|0.90|||||1.65||chlorine-oxide
397|molecular chlorine|Cl2|0|1|7782-50-5|22933|24526|0|InChI=1S/Cl2/c1-2|KZBUYRJDOAKODT-UHFFFAOYSA-N||0.00|0.00|22|0.00||4.61|0.00|243|2.64||chlorine
416|chloro(trifluoro)silane|ClF3Si|0|1|14049-36-6|123179|139671|0|InChI=1S/ClF3Si/c1-5(2,3)4|WOLDFAYTXKMDAQ-UHFFFAOYSA-N||0.64|0.00|38|0.51|||||3.24||chlorotrifluorosilane
480|difluorosilicon|F2Si|0|1|13966-66-0|4885757|6327229|0|InChI=1S/F2Si/c1-3-2|MGNHOGAVECORPT-UHFFFAOYSA-N||1.23|0.00|38|1.53|||||3.19||difluorosilylene
509|N-oxonitramide|N2O3|0|1|10544-73-7|55446|61526|0|InChI=1S/N2O3/c3-1-2(4)5|LZDSILRDTDCIQT-UHFFFAOYSA-N||2.12|0.00|22|2.07|||||3.56||dinitrogen-trioxide
540|fluorine azide|FN3|0|1|14986-60-8|10328964||0|InChI=1S/FN3/c1-3-4-2|||1.30|0.00|38|1.76|||||2.95||fluorine-azide
541|molecular fluorine|F2|0|1|7782-41-4|22932||0|InChI=1S/F2/c1-2|||0.00|0.00|22|0.00||1.38|0.00|19|0.68||fluorine
565|oxogermanium|GeO|0|1|20619-16-3|4886101|6327639|0|InChI=1S/GeO/c1-2|PVADDRMAFCOOPC-UHFFFAOYSA-N||3.28|0.00|38|3.89|||||3.65||germanium-oxide
566|selenoxogermanium|GeSe|0|1||21170394||0|InChI=1S/GeSe/c1-2|||1.65|0.05|19|2.53|||||7.20||germanium-selenide
567|sulfanylidenegermanium|GeS|0|1|12025-32-0|4897590|6367215|0|InChI=1S/GeS/c1-2|VDNSGQQAZRMTCI-UHFFFAOYSA-N||2.00|0.00|38|3.00|||||6.12||germanium-sulfide
577|argon helium|ArHe|0|1|12254-69-2|||0|InChI=1S/Ar.He||||||0.00|||||0.61||helium-argon
578|helium krypton|HeKr|0|1||||0|InChI=1S/He.Kr||||||0.00|||||1.37||helium-krypton
579|helium neon|HeNe|0|1|12162-16-2|4937276||0|InChI=1S/He.Ne||||||0.00|||||0.18||helium-neon
610|iodine bromide|BrI|0|1|7789-33-5|74216||0|InChI=1S/BrI/c1-2|||0.73|0.00|38|0.85|||||5.82||iodine-bromide
611|iodine chloride|ClI|0|1|7790-99-0|23042||0|InChI=1S/ClI/c1-2|||1.24|0.00|38|1.57||6.49|0.65|341|4.88||iodine-chloride
612|iodine fluoride|IF|0|1|13873-84-2|123150||0|InChI=1S/FI/c1-2|||1.95|0.00|38|2.63|||||3.14||iodine-fluoride
613|molecular iodine|I2|0|1|7553-56-2|785|807|0|InChI=1S/I2/c1-2|PNDPGZBMCMUPRI-UHFFFAOYSA-N||0.00|0.00|22|0.00||10.30|0.27|341|7.48||iodine
