Composition,Bandgap,theory_data,expt_data,Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,ML PBE bandgap,cost,pbe_values
Y3SnC,0,1,0,0.045555255,0.863192055,-0.782670543,1.149492384,-0.994213135,-0.114117629,-0.578237585,-1.035015282,-0.19609013,-0.668685749,0.365233801,-0.273585906,0.468153706,-0.362604448,-0.26576823,-0.178513133,-0.91301579,-0.970030277,1.568897982,-0.691726392,0,0.1,0
Ca3MnN3,0,1,0,-0.762451578,0.861425924,-0.415197786,0.633790729,0.112578434,-0.29653206,0.450789077,0.11671228,-0.839582071,0.073046557,0.144290759,-0.914282728,0.915073041,-0.362604448,-0.579971239,0.627546635,0.026880615,0.409692533,-0.379584847,-2.427287615,0,0.1,0
KAlSiO4,4.5036,1,0,-1.013516897,-0.83111611,0.626130233,-0.244872921,0.351995474,-0.68536282,-0.578237585,0.355825233,-1.083329019,0.536629249,-0.201073884,-0.004722061,1.436478932,0.135867024,-0.560180847,1.286017995,0.59772052,0.869257011,0.438553479,0.251219614,0,0.1,4.5036
LiTi3Nb(PO4)6,2.5154,1,0,-0.980162181,-0.867616147,0.617376447,-0.914956601,1.125714669,-0.645146305,-0.222036048,1.126933973,-0.98583024,1.463794632,-0.219294826,-0.55732307,1.386821228,0.685281895,-0.715816397,1.104370723,0.214314032,1.236004109,-0.078729303,0.282850585,0,0.1,2.5154
FeSe,0,1,0,0.538864255,-0.049603223,-0.75994795,0.221147286,-0.403484406,0.768885557,0.529944974,-0.390613296,1.646636794,0.304837903,0.621158128,0.801869473,-1.5429833,-0.362604448,0.526946905,-0.871043356,-0.93240507,-0.971325398,-0.753518061,0.198919729,0,0.1,0
MnRh2Pb,0,1,0,1.830723014,1.361829656,-0.783415546,0.824715307,-1.04465602,2.749575581,1.875595224,-1.039281808,1.561325363,-1.317701517,1.380161812,0.252700769,-0.376027259,-0.362604448,2.961531573,-0.802925629,-1.463576283,-0.97167058,-0.580452791,-0.122954683,0,0.1,0
YMn4(CuO4)3,0,1,0,-0.388939795,-0.630660262,0.609926417,-0.60804021,0.687200168,0.068830177,0.450789077,0.686406839,-0.213152416,0.629345787,-0.246244383,-0.450921633,0.145378631,-0.362604448,-0.193081297,0.831899816,-0.126405727,0.95954853,-0.157290988,0.095313657,0,0.1,0
SiTe2,0,1,0,0.141286097,-0.842890315,-0.791610579,0.465448627,-0.444811107,-0.432720612,-0.776127328,-0.439203566,1.191642492,-1.317701517,1.827432843,1.62562253,0.095720927,-0.16334483,0.313446856,-1.461396989,0.194944214,-0.969624125,-0.055007756,1.104209818,0,0.1,0
KNaO3,0,1,0,-1.147755239,-1.267350422,0.498734711,0.189531818,0.185591255,-0.796624955,-1.027447301,0.189736658,-1.083329019,0.629345787,-1.219875352,-2.035502166,-0.450513815,-0.362604448,-0.965615119,1.286017995,1.054123554,0.962527507,-0.612336592,0.131440326,0,0.1,0
Cs4CO4,1.3803,1,0,-0.944374219,-0.964230044,0.629110245,1.164821096,-0.298736075,-0.830974339,-1.092750916,-0.293758716,-1.083329019,0.485120061,-1.011209351,-0.273585906,2.255831046,2.536655242,-0.922896106,1.320076858,1.017404286,0.466539259,2.234631741,0.009101364,0,0.1,1.3803
Na2CrF4,1.1107,1,0,-0.884960775,-0.881156483,2.521604255,-1.259031432,1.275768795,-0.182389697,1.182981124,1.277994296,-0.839582071,0.536629249,-1.915923388,-0.84563664,0.095720927,-0.362604448,-0.576062026,1.774195038,0.921591383,0.869657004,0.227355184,1.694780119,0,0.1,1.1107
MnPSe3,0,1,0,0.088645414,-0.52969645,-0.625661149,0.109056082,-0.110502405,-0.165641705,0.450789077,-0.105828161,1.305391068,1.278361555,1.025358783,0.984925708,-0.425684963,0.170044241,-0.464502855,-0.55316063,-0.310377377,-0.970473177,-0.468731953,0.51868541,0,0.1,0
SrAl9Co2,0,1,0,-0.199703326,1.020132401,-0.802971876,0.875012642,-1.593571851,0.382766123,0.391422154,-1.58466753,-0.685209004,-1.317701517,1.069046996,-0.960046786,0.120549779,-0.362604448,0.490175868,-0.632631312,-0.086880276,-0.971430135,-0.456743644,-0.94423721,0,0.1,0
RbPdF3,0,1,0,-0.486073078,-0.937672669,2.508752952,-1.052093825,1.541787729,-0.502415014,-0.222036048,1.542863128,-0.400837566,0.629345787,-2.152237789,-0.502406199,0.741271078,-0.362604448,-0.373515918,1.899077537,1.184137849,0.963230673,-0.1080624,1.79068974,0,0.1,0
Li2CuP,0,1,0,-0.418044659,0.743683869,-0.615976109,0.55167263,-1.136790254,-0.304532693,-0.142880151,-1.129648658,-0.230214702,-0.506431807,-0.457827398,-0.754108522,-0.202225296,-0.362604448,-0.258071966,-0.314748586,0.472284134,-0.971101846,-0.65493335,-0.270858758,0,0.1,0
Mg3Sn,0,1,0,-0.367918509,0.573693778,-0.816568182,1.291761989,-0.985340049,-0.186923389,-0.736549379,-0.97909027,-0.230214702,-1.317701517,0.291737211,0.93916165,-1.642298708,-0.362604448,-0.172557928,-0.950514037,0.965374898,-0.970516889,-0.516557655,-3.487406283,0,0.1,0
