Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,HF,LF
-0.406161589,-0.957688819,0.622591469,0.223200238,0.23030744,0.041628025,2.09327394,0.22653576,-0.888331461,0.536629249,-0.892998548,-0.914282728,0.592297966,-0.362604448,-0.225210143,1.286017995,0.16950481,0.870621038,-0.107297189,0.104277857,5.917469,4.5137
-0.932816518,-0.798246453,0.621846466,-0.898168012,1.035035937,-0.345187761,1.182981124,1.037787072,-0.89374806,1.38653085,-0.036452116,-0.365114023,1.386821228,0.685281895,-0.65191162,1.104370723,0.164084502,1.174590771,-0.018277617,0.300988185,0.22734346,0.0
-1.095885714,-0.945914613,0.478247127,0.494189962,0.035854892,-0.812772899,-1.06702525,0.040284002,-1.083329019,0.710472758,-0.902398692,-0.182057789,1.659938599,0.685281895,-0.954370022,1.286017995,0.901392901,0.641866182,-0.050416488,0.02564498,5.57534993,3.9991
-0.418810017,-0.854909817,0.622032716,-0.578819853,0.771530948,-0.607578889,-0.518870662,0.774964891,-0.486148997,0.845684376,-0.098381605,-0.296467935,0.815757634,-0.362604448,-0.199637373,0.672958453,-0.146134699,1.174558091,-0.108827611,0.266208761,4.940898,3.6236
-0.876157761,-0.652598377,0.622218967,-0.305495399,0.265407557,-0.747736382,-0.815705276,0.269404131,-1.043182463,0.400281398,-0.055855557,-1.154544036,1.237848117,0.620151728,0.04339017,1.161135496,0.499518107,0.733286715,1.545686575,-0.018293384,5.209814,3.7934
0.176186118,-0.755319662,2.495715398,0.372039291,0.062899572,-0.355870088,-0.499081688,0.067191706,0.622899614,-0.506431807,-0.79439269,0.269862291,-0.549829223,0.608544372,-0.251230843,1.819606856,0.983127931,-0.163755331,-0.027715222,0.76245622,2.407819,2.2381
-0.655783754,-0.621388075,0.590556337,-0.109378059,0.132061022,-0.072114307,0.450789077,0.136131107,-0.65677186,0.304837903,-0.441894706,-0.914282728,0.145378631,-0.362604448,-0.457747245,1.161135496,0.065479464,0.63856358,-0.397057169,-0.178235661,1.786021,1.1457
0.662428858,1.306883363,-0.817313185,0.13013306,-0.238663798,0.102432835,0.391422154,-0.238269716,1.987882521,-1.317701517,0.776293967,0.733223385,-1.493325597,-0.362604448,0.279241241,-1.347867444,-0.683784773,-0.971558516,-0.765378835,-0.310885603,0.457918,0.171
-0.406848362,-1.012308049,0.610485169,-0.569239408,1.166876217,-0.665035286,-0.696971431,1.165874954,0.054156737,0.845684376,-0.199984188,1.419684266,-0.078081036,-0.362604448,-0.790634393,-0.053630633,0.740397931,1.174972197,-0.258043798,0.301883094,1.423094,0.5483
-0.58474567,-0.887534178,0.610485169,-0.669834078,0.979015298,-0.221148319,0.450789077,0.979057759,-0.230214702,0.845684376,0.00272578,0.984925708,0.145378631,-0.362604448,-0.53599259,0.457252318,0.062507773,1.174560348,-0.258043798,0.219714163,0.7656495,0.6619
